PLAYER,AGE,POS,GP,G,A,P,P/GP,PLUSMINUS,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,TYPE,EXPIRY,CAP HIT,CAP HIT %
Josh Bailey,29,"RW, LW",68,14,29,43,0.63,-12,94,0.15,16:53:00,10.93,94,161,122,0.56,4.91,8.41,6.37,522,609,46.15,1004,1164,46.31,727,848,46.16,56.72,55.97,50.33,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0670
Robin Lehner,27,G,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,10,1,2.89,0.92,2.89,3.01,0.12,Standard (1-way),UFA,"5,000,000",0.0610
Zachary Werenski,21,LD,63,20,21,41,0.65,9,187,0.11,23:59:00,11.05,187,334,243,0.44,7.43,13.26,9.65,883,744,54.27,1452,1355,51.73,1123,1021,52.38,70.11,63.05,52.65,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"5,000,000",0.0610
Tyler Johnson,28,"RW, C",65,14,17,31,0.48,9,113,0.12,14:32:00,12.21,113,190,152,0.78,7.18,12.07,9.65,525,446,54.07,945,782,54.72,731,597,55.05,47.93,38.86,55.23,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0670
Danny DeKeyser,29,LD,8,0,4,4,0.5,0,12,0,22:03:00,0.89,12,23,19,0.3,4.08,7.82,6.46,63,131,32.47,123,226,35.24,96,171,35.96,7.41,14.76,33.42,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0680
Andy Greene,36,LD/RD,63,2,12,14,0.22,1,60,0.03,19:32:00,2.29,60,124,90,0.11,2.92,6.04,4.38,541,722,42.83,940,1413,39.95,733,1031,41.55,46.54,64.55,41.89,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0720
Tyler Bozak,33,"C, RW",67,13,16,29,0.43,0,109,0.12,15:19:00,10.84,109,158,131,0.63,6.37,9.24,7.66,521,483,51.89,912,871,51.15,681,670,50.41,46.93,42.42,52.52,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0630
Morgan Rielly,25,LD,47,3,24,27,0.57,6,123,0.02,24:12:00,5.99,123,261,190,0.32,6.49,13.77,10.02,657,653,50.15,1244,1130,52.4,946,896,51.36,65.3,60.49,51.91,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0700
Jonathan Marchessault,28,"LW, RW",66,22,25,47,0.71,6,235,0.09,17:16:00,23.73,235,388,287,1.25,12.36,20.41,15.1,762,511,59.86,1375,914,60.07,1028,704,59.35,79.31,48.29,62.16,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,000,000",0.0670
Noah Hanifin,22,LD,70,5,17,22,0.31,-12,132,0.04,21:10:00,6.43,132,269,206,0.26,5.34,10.89,8.34,775,829,48.32,1443,1431,50.21,1100,1156,48.76,72.54,73.73,49.59,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"4,950,000",0.0620
