player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Ron Hainsey,D,PIT,2016-17,35,-8,Standard (1-way),2833333,L,0,0,1,2,72,-0.09000000000000002,-0.020000000000000018,0.01999999999999999,0.07999999999999996,-186,-28,32,-5,-74,-16,28,-1,-15,6,0,95169,78636,12187,740,71,56,5,1,4,2,1,0,93,84,6,1,25,19,3,0,47,42,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,120,90,0,6,13,9,2,0,-4,-2,0,2,73000000,0.038813,pre-covid
Ryan Murray,D,CBJ,2016-17,22,3,Standard (1-way),2825000,L,0,1,0,1,60,-0.10000000000000003,-0.07,0.010000000000000009,-0.04999999999999993,-123,-6,-13,-3,-52,-1,-8,-1,-7,6,1,65999,55183,6445,1598,52,45,1,1,2,2,0,0,23,21,1,0,8,7,1,0,18,13,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,77,0,5,9,6,1,1,-24,-20,-2,-2,73000000,0.038699,pre-covid
Karl Alzner,D,WSH,2016-17,27,23,Standard (1-way),2800000,L,0,0,0,0,81,-0.15000000000000008,-0.07000000000000006,-0.07,-0.36,-212,4,-34,-9,-42,21,-12,-2,-17,-1,0,96327,78482,14331,155,80,71,4,0,3,2,0,0,105,86,17,0,17,10,7,0,51,35,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,115,0,4,10,10,0,0,-12,-12,0,0,73000000,0.038356,pre-covid
Alex Galchenyuk,F,MTL,2016-17,22,-5,Standard (1-way),2800000,L,6,10,0,0,61,0.050000000000000044,-0.030000000000000027,-0.14,0.04999999999999993,46,13,9,7,-36,-3,-6,1,0,63,10,58303,48226,92,7904,104,73,0,18,17,7,0,4,36,33,0,0,17,12,0,1,34,27,0,4,11,5,0,3,3,0,0,1,274,217,0,35,368,301,7,1,32,31,0,0,27,16,0,6,-10,-2,0,-8,73000000,0.038356,pre-covid
Cody Ceci,D,OTT,2016-17,22,-11,Standard (1-way),2800000,R,0,1,0,2,79,-0.10000000000000003,-0.03999999999999998,-0.09,0.050000000000000044,-247,-31,-1,-5,-94,-16,8,-3,-21,43,4,109992,87260,13600,4213,143,115,7,12,2,2,0,0,111,88,11,1,22,19,1,1,74,56,11,4,4,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,159,119,0,19,15,11,1,1,-8,-10,0,2,73000000,0.038356,pre-covid
Brendan Smith,D,NYR,2016-17,27,1,Standard (1-way),2750000,L,1,2,0,0,51,-0.010000000000000009,0.020000000000000018,-0.04000000000000001,0.020000000000000018,-61,-4,-6,-1,-21,1,-4,0,-9,23,3,58880,48469,5350,2643,62,49,0,9,3,2,0,1,59,48,5,4,11,10,1,0,37,31,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,55,0,6,6,4,0,2,-18,-16,0,0,73000000,0.037671,pre-covid
Adam McQuaid,D,BOS,2016-17,29,4,Standard (1-way),2750000,R,0,0,0,1,77,-0.07999999999999996,-0.010000000000000009,0.009999999999999981,-0.09999999999999998,4,-14,-8,-5,97,-7,0,-3,-13,2,0,84227,70856,10264,126,64,58,2,1,2,2,0,0,157,144,12,0,10,8,1,0,24,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,98,0,4,8,5,1,0,-12,-6,1,0,73000000,0.037671,pre-covid
J.T. Miller,F,NYR,2016-17,23,17,Standard (1-way),2750000,L,2,5,3,1,81,-0.03999999999999998,-0.03999999999999998,-0.01999999999999999,-0.07000000000000006,-104,12,-6,9,-87,7,-5,3,-11,47,5,79680,63755,5948,6811,131,99,10,10,22,13,3,1,96,90,3,2,48,38,6,2,51,43,1,6,17,7,3,1,8,2,2,0,155,119,7,22,197,145,22,15,56,42,0,8,34,21,1,5,2,4,-2,0,73000000,0.037671,pre-covid
Cal Clutterbuck,F,NYI,2016-17,28,2,Standard (1-way),2750000,R,0,1,0,0,66,-0.06,0.010000000000000009,0,-0.050000000000000044,-108,-6,8,4,3,4,6,4,-10,17,2,55429,44551,7934,1464,115,102,6,2,5,5,0,0,222,207,9,4,30,23,4,0,16,14,2,0,15,7,2,1,3,3,0,0,3,1,1,1,5,1,1,1,25,16,0,3,15,13,0,1,0,-4,0,0,73000000,0.037671,pre-covid
Tomas Tatar,F,DET,2016-17,25,-8,Standard (1-way),2750000,L,5,3,0,0,82,0.10000000000000003,0.040000000000000036,-0.12,-0.040000000000000036,119,4,-8,0,-2,4,-10,-1,-1,88,10,85004,70521,97,10926,166,127,0,21,25,19,0,5,92,92,0,0,34,32,0,0,38,31,0,7,20,16,0,2,10,8,0,2,8,7,0,1,5,3,0,0,24,23,0,0,21,16,0,3,6,4,0,-2,73000000,0.037671,pre-covid
