player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes
Kyle Clifford,F,TOR,2019-20,28,-7,Standard (1-way),1600000,L,0,0,0,0,69,0.010000000000000009,0.010000000000000009,-0.09,0.12,58,-6,8,3,54,-6,10,4,-1,5,0,46341,45077,494,374,110,106,0,1,7,7,0,0,133,132,1,0,11,11,0,0,17,16,1,0,10,10,0,0,0,0,0,0,6,6,0,0,4,4,0,0,15,12,0,0,10,10,0,0,-10,-10,0,0
Johan Larsson,F,BUF,2019-20,26,8,Standard (1-way),1550000,L,0,0,0,0,62,-0.04999999999999999,0.030000000000000027,0.030000000000000013,-0.30000000000000004,-125,-10,-6,-2,-29,6,5,5,-17,-1,0,55463,46829,7186,279,60,53,6,0,6,5,0,0,85,84,1,0,24,22,2,0,23,18,5,0,8,6,1,0,4,3,0,0,323,250,57,6,342,262,7,13,30,20,0,3,13,12,0,0,-10,-8,-2,0
Lawson Crouse,F,ARI,2019-20,22,0,Standard (1-way),1533333,L,0,0,1,0,66,-0.07,-0.02999999999999997,-0.01999999999999999,0.14,-70,-9,-6,-1,-24,-6,-1,-1,-7,2,0,53826,47066,5514,115,109,96,9,1,15,11,1,0,201,199,1,1,28,23,3,0,22,20,2,0,12,8,1,0,4,1,0,0,24,23,1,0,23,21,0,0,29,20,0,1,9,7,0,0,14,16,-2,0
Drake Caggiula,F,CHI,2019-20,25,-3,Standard (1-way),1500000,L,1,0,0,1,40,-0.020000000000000018,0.010000000000000009,0,-0.06999999999999995,-41,-6,-4,-3,-33,-4,-3,-2,-4,6,1,28344,26451,1367,315,57,51,3,3,9,8,0,1,81,79,2,0,19,16,3,0,5,5,0,0,8,8,0,0,2,2,0,0,4,4,0,0,10,8,0,0,16,15,0,0,6,5,1,0,-2,-2,0,0
Connor Carrick,D,N.J,2019-20,25,-6,Standard (1-way),1500000,R,0,0,0,0,29,-0.06,-0.040000000000000036,0.01999999999999999,0.14,-86,-6,-8,-3,-79,-7,-7,-3,1,1,0,25073,23775,753,115,25,23,0,1,1,1,0,0,27,26,0,0,5,5,0,0,12,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,37,0,0,4,4,0,0,-10,-10,0,0
Vinnie Hinostroza,F,ARI,2019-20,25,1,Standard (1-way),1500000,R,0,2,0,1,68,-0.010000000000000009,0.020000000000000018,0.010000000000000009,0.16000000000000003,-18,-2,10,-1,22,2,12,1,-1,3,1,53393,48642,3188,269,132,125,5,0,5,5,0,0,52,49,2,0,30,28,0,0,20,19,0,0,5,5,0,0,0,0,0,0,26,25,0,0,35,34,1,0,26,24,0,0,17,15,1,1,18,18,0,0
Ben Hutton,D,L.A,2019-20,26,5,Standard (1-way),1500000,L,0,0,0,0,65,0,0.040000000000000036,0.03,-0.16000000000000003,69,-6,9,5,119,2,11,8,-9,4,0,71329,64276,5405,544,114,109,5,0,4,4,0,0,51,50,1,0,12,12,0,0,41,31,7,0,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,76,67,0,3,12,12,0,0,-8,-10,0,2
Garnet Hathaway,F,WSH,2019-20,27,6,Standard (1-way),1500000,R,0,0,0,1,66,-0.020000000000000018,0.020000000000000018,0.04000000000000001,0.15000000000000002,34,0,7,3,54,2,5,2,-4,0,0,42763,37270,4990,158,80,76,3,0,9,8,0,0,189,184,4,0,21,15,6,0,16,16,0,0,12,11,0,0,4,3,0,0,9,7,2,0,20,15,1,2,47,38,0,3,8,7,1,0,8,6,-6,2
Corey Perry,F,DAL,2019-20,34,-2,Standard (1-way),1500000,R,3,8,0,0,57,0.07000000000000006,-0.040000000000000036,-0.15,0.08000000000000007,71,13,14,7,-39,-2,3,-1,0,98,14,46829,38729,51,6956,76,60,0,14,5,4,0,1,60,58,1,1,17,17,0,0,26,22,0,4,7,6,0,0,1,1,0,0,4,3,0,1,6,4,0,0,33,32,0,0,17,10,0,6,-15,-13,2,-4
Mike Reilly,D,OTT,2019-20,25,-6,Standard (1-way),1500000,L,1,8,0,1,44,0.07000000000000006,0.020000000000000018,0.21999999999999997,0.010000000000000009,62,0,14,6,14,-6,8,3,-2,44,10,47479,40826,790,4064,85,65,0,15,1,0,0,1,39,37,0,1,9,5,2,2,39,35,0,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,46,44,0,0,16,7,1,8,-10,-8,0,0
Josh Leivo,F,VAN,2019-20,26,0,Standard (1-way),1500000,R,0,4,0,0,36,0.08000000000000007,0.030000000000000027,-0.14,0,44,11,11,4,3,2,4,1,0,35,11,32029,27088,128,3510,68,59,0,5,6,6,0,0,17,16,0,0,10,9,0,1,15,11,0,2,5,4,0,0,2,2,0,0,10,8,0,2,7,6,1,0,8,8,0,0,13,8,0,5,16,16,0,0
Andrej Sekera,D,DAL,2019-20,33,9,Standard (1-way),1500000,L,0,0,1,0,57,-0.09000000000000002,-0.020000000000000018,0,0.08999999999999997,-94,-6,1,-1,4,7,12,5,-12,3,0,61592,52725,7027,203,63,57,3,1,2,1,0,0,34,28,6,0,8,7,1,0,50,45,5,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,75,47,0,3,5,4,0,0,-2,-6,0,2
Jason Dickinson,F,DAL,2019-20,23,7,Standard (1-way),1500000,L,0,0,1,1,65,-0.11000000000000004,-0.040000000000000036,-0.01999999999999999,0,-164,-7,-8,-6,-37,5,4,1,-12,3,0,58280,47919,8094,264,85,75,3,1,9,9,0,0,89,87,2,0,47,31,13,0,29,25,4,0,12,10,0,0,4,4,0,0,193,177,6,1,253,210,2,5,55,38,0,5,12,9,1,0,14,14,-2,0
Nick Ritchie,F,ANA,2019-20,23,1,Standard (1-way),1498925,L,2,1,0,0,49,0.10000000000000003,0.050000000000000044,0.010000000000000009,-0.030000000000000027,70,6,6,1,20,2,3,-1,-1,45,4,41427,35607,205,4505,78,67,0,9,9,7,0,2,102,101,0,1,11,9,0,1,20,17,0,3,16,13,0,2,4,3,0,1,1,1,0,0,7,6,0,0,17,17,0,0,11,8,0,1,-42,-42,0,0
Joel Eriksson Ek,F,MIN,2019-20,22,7,Standard (1-way),1487500,L,1,0,0,1,62,-0.08000000000000002,-0.020000000000000018,-0.010000000000000009,0.050000000000000044,-106,-8,-18,-12,4,9,2,1,-14,3,1,58390,48576,6902,288,102,92,6,1,8,7,0,1,93,87,3,0,19,15,3,0,18,18,0,0,8,8,0,0,1,1,0,0,369,297,48,6,429,324,5,22,41,33,0,1,22,20,1,0,10,6,0,2
Ivan Barbashev,F,STL,2019-20,23,4,Standard (1-way),1475000,L,0,0,2,1,69,-0.08000000000000002,-0.050000000000000044,0.03,-0.12,-104,-9,-20,-7,-33,0,-11,-2,-12,-1,0,54816,46706,6392,435,74,63,7,1,11,8,1,0,141,133,5,0,32,25,7,0,30,28,2,0,11,8,0,1,3,1,0,0,146,132,9,4,176,161,1,4,33,27,0,1,15,14,1,0,12,14,-4,0
Scott Mayfield,D,NYI,2019-20,26,8,Standard (1-way),1450000,R,0,0,0,2,67,-0.07,0.009999999999999953,-0.05000000000000002,-0.91,-186,-14,-30,-12,-48,4,-8,-3,-12,-1,0,80397,67759,9545,202,97,92,3,0,5,5,0,0,93,86,5,0,21,19,1,0,70,57,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,75,1,7,9,7,2,0,-18,-18,0,2
Mark Barberio,D,COL,2019-20,29,3,Standard (1-way),1450000,L,0,0,0,0,21,-0.020000000000000018,0,0.06000000000000001,-0.18000000000000005,-6,4,-9,0,6,4,-7,1,0,-1,0,17764,15799,1211,133,29,29,0,0,0,0,0,0,13,12,1,0,6,6,0,0,13,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,1,2,2,0,0,-10,-10,0,0
Steven Santini,D,NSH,2019-20,24,1,Standard (1-way),1416667,R,0,0,0,0,2,-0.09000000000000008,-0.09000000000000008,-0.4,0,2,1,0,0,2,1,0,0,0,0,0,1146,1111,35,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Bertuzzi,F,DET,2019-20,24,-23,Standard (1-way),1400000,L,3,11,0,0,71,0.14000000000000007,0.04999999999999999,0.05000000000000002,0.05999999999999994,58,-2,12,-6,-79,-7,7,-2,-3,105,13,82222,64403,666,12281,129,104,1,19,21,16,0,3,71,64,0,2,25,20,0,2,57,47,0,8,32,21,0,6,8,4,0,2,4,3,0,1,2,1,0,0,30,28,0,0,27,16,0,9,21,21,0,-2
Matt Grzelcyk,D,BOS,2019-20,25,15,Standard (1-way),1400000,L,1,7,0,1,68,0.030000000000000027,0.020000000000000018,0.01999999999999999,-0.030000000000000027,80,23,15,14,50,8,10,5,-4,55,12,73601,61360,3916,6022,112,90,2,14,4,3,0,1,56,50,3,1,22,16,3,2,39,34,1,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,67,54,5,3,17,8,1,6,-22,-16,-2,-4
Jordan Oesterle,D,ARI,2019-20,27,-9,Standard (1-way),1400000,L,0,3,0,0,58,0,-0.020000000000000018,0.03,0.06999999999999995,-16,-8,14,-2,-33,-9,19,0,-2,39,5,59187,51734,2286,3395,70,60,2,5,3,3,0,0,48,47,0,0,11,11,0,0,37,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,75,0,3,10,7,0,2,0,0,2,-2
Jordan Weal,F,MTL,2019-20,27,-8,Standard (1-way),1400000,R,2,3,0,0,49,0.08999999999999997,0.020000000000000018,-0.24,0.030000000000000027,149,1,26,7,67,-7,8,1,0,79,8,40027,33515,89,5651,86,64,0,19,8,5,0,1,32,32,0,0,22,21,0,1,12,12,0,0,12,6,0,5,4,2,0,1,96,59,0,33,96,72,1,0,20,20,0,0,7,4,0,3,-2,-2,0,0
Mirco Mueller,D,N.J,2019-20,24,-13,Standard (1-way),1400000,L,0,1,0,0,50,-0.08000000000000002,-0.020000000000000018,-0.010000000000000009,0.040000000000000036,-155,-22,-20,-7,-91,-11,-14,-3,-8,6,1,52914,44840,5685,363,29,28,0,0,2,2,0,0,63,53,8,0,9,6,3,0,27,21,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,75,0,8,5,3,0,1,-14,-10,-9,0
Jon Merrill,D,VGK,2019-20,27,9,Standard (1-way),1375000,L,0,0,0,1,49,-0.06000000000000005,-0.010000000000000009,-0.05000000000000002,-0.1399999999999999,-5,0,-12,-6,44,3,-5,-3,-7,3,1,53409,47523,3856,572,37,32,2,2,2,2,0,0,51,49,2,0,14,13,1,0,27,23,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,71,59,0,2,5,4,0,0,-26,-24,0,0
Robert Bortuzzo,D,STL,2019-20,30,12,Standard (1-way),1375000,R,0,0,0,0,41,-0.12000000000000005,0,-0.06000000000000001,-0.83,-67,-1,-15,-5,22,14,-2,4,-12,0,0,32204,25885,5574,6,36,35,0,0,2,2,0,0,62,47,14,0,2,1,1,0,10,9,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,42,18,0,0,4,4,0,0,-4,-4,-2,0
Kevin Connauton,D,COL,2019-20,29,-2,Standard (1-way),1375000,L,0,0,0,0,4,-0.06000000000000005,-0.05999999999999994,0.08000000000000002,-0.36,-2,-3,0,-1,1,-2,-1,-1,-1,-1,0,3720,3255,274,25,4,4,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,2,2,0,0
Markus Granlund,F,EDM,2019-20,26,-1,Standard (1-way),1300000,L,0,0,0,0,34,-0.03999999999999998,0.030000000000000027,-0.1,-0.030000000000000027,-22,-8,-1,-3,14,0,6,2,-8,3,0,21863,18975,2193,112,26,24,0,1,3,3,0,0,14,14,0,0,11,11,0,0,6,6,0,0,8,7,0,0,2,2,0,0,25,25,0,0,32,29,0,1,18,13,0,1,1,1,0,0,-4,-6,0,0
Matthew Peca,F,OTT,2019-20,26,-4,Standard (1-way),1300000,L,0,0,0,0,14,-0.030000000000000027,-0.020000000000000018,-0.03,-0.9,-14,-5,-1,-2,-6,-4,2,-2,-1,0,0,8769,8227,484,24,7,7,0,0,0,0,0,0,15,15,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,43,42,1,0,36,33,1,0,4,4,0,0,2,2,0,0,2,2,0,0
Jan Rutta,D,T.B,2019-20,28,6,Standard (1-way),1300000,R,0,0,0,0,33,-0.040000000000000036,0.010000000000000009,-0.06000000000000001,-0.75,-38,4,3,2,7,9,8,4,-4,0,0,30402,27028,2945,19,43,42,0,0,1,1,0,0,19,16,3,0,2,2,0,0,8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,0,1,6,6,0,0,-10,-10,0,0
Zach Bogosian,D,T.B,2019-20,28,0,Standard (1-way),1300000,R,0,0,0,1,27,-0.07,0,0.06999999999999998,0.30000000000000004,-57,-2,-5,-2,-29,1,-2,0,-2,1,0,26977,23050,3297,156,29,28,1,0,1,1,0,0,30,26,4,0,4,2,2,0,11,8,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,0,2,6,5,1,0,-8,-10,0,0
Sean Kuraly,F,BOS,2019-20,26,-2,Standard (1-way),1275000,L,0,1,1,1,69,-0.12000000000000005,-0.06,-0.04000000000000001,-0.31999999999999995,-142,-14,-17,-2,-57,-2,-2,4,-12,-1,1,54862,46794,6481,98,96,88,5,0,6,6,0,0,145,137,3,0,28,21,3,0,27,23,1,0,6,4,1,0,1,1,0,0,255,214,29,2,267,192,2,14,31,25,0,1,16,12,1,1,0,-2,-2,0
Christian Djoos,D,ANA,2019-20,24,3,Standard (1-way),1250000,L,0,1,0,0,10,0.07,0.06000000000000005,-0.1,0.009999999999999898,10,2,6,0,7,0,3,0,-2,10,2,11143,8711,803,1214,12,6,0,4,1,0,0,0,2,1,0,0,2,2,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,1,2,1,0,1,0,0,0,0
Jared McCann,F,PIT,2019-20,23,6,Standard (1-way),1250000,L,2,5,0,0,66,0.010000000000000009,-0.010000000000000009,-0.11,-0.030000000000000027,67,15,13,11,20,8,2,5,-5,58,8,60264,49968,1844,6349,150,127,1,13,14,11,0,1,90,80,3,5,33,26,4,1,29,20,0,8,12,8,0,2,4,2,0,1,265,210,20,17,305,249,15,20,27,23,0,2,21,13,0,4,22,18,0,-2
Jake Virtanen,F,VAN,2019-20,22,-4,Standard (1-way),1250000,R,6,3,0,0,69,0.030000000000000027,0.010000000000000009,-0.05,-0.07000000000000006,15,6,12,10,-17,-4,4,2,0,34,9,53548,48680,108,3569,149,128,0,17,18,11,0,5,102,98,1,1,36,33,0,2,31,28,1,1,17,12,0,4,6,1,0,4,5,4,0,1,13,12,0,0,28,26,0,0,17,14,0,3,14,12,0,0
Chris Wagner,F,BOS,2019-20,28,-8,Standard (1-way),1250000,R,0,0,1,0,67,-0.13000000000000006,-0.06,-0.09999999999999999,-0.13,-140,-21,-10,-7,-59,-9,-1,0,-10,-1,0,49933,43208,5524,268,78,72,5,0,6,5,1,0,192,186,3,2,16,12,4,0,21,18,2,0,11,7,2,0,4,3,1,0,115,94,17,0,133,101,2,7,31,23,0,1,4,4,0,0,-6,-3,7,0
Austin Czarnik,F,CGY,2019-20,26,1,Standard (1-way),1250000,R,1,0,0,0,8,0.020000000000000018,-0.050000000000000044,0,0.08999999999999997,2,2,1,0,-7,1,2,0,0,9,1,4906,4228,0,585,9,6,0,3,2,1,0,1,1,1,0,0,6,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,2,0,0,2,2,0,0,1,1,0,0,2,0,0,0
Brad Richardson,F,ARI,2019-20,34,1,Standard (1-way),1250000,L,0,0,1,1,59,-0.14,-0.07,0,-0.82,-161,-19,7,-2,-34,-2,17,4,-18,0,0,48273,38033,8496,99,75,67,6,0,6,5,1,0,77,72,3,0,12,10,2,0,17,13,3,0,15,12,2,0,4,3,1,0,355,296,47,4,304,232,3,14,44,39,0,1,5,4,0,0,-6,-10,0,0
Dan Hamhuis,D,NSH,2019-20,36,6,35+ (1-way),1250000,L,0,0,0,0,60,-0.11000000000000004,0,-0.05,-0.86,-111,-11,-16,-6,16,6,1,4,-13,0,0,52378,42926,8413,98,44,40,4,0,0,0,0,0,64,60,4,0,9,8,1,0,34,27,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,38,0,3,8,8,0,0,-16,-18,0,2
Colton Sceviour,F,FLA,2019-20,30,2,Standard (1-way),1200000,R,0,0,0,0,68,-0.15000000000000002,-0.04999999999999999,-0.01999999999999999,-0.84,-148,-26,-28,-16,7,2,-4,0,-27,0,0,53823,42539,10018,82,110,93,17,0,6,6,0,0,90,88,2,0,25,20,5,0,34,23,11,0,5,3,0,0,0,0,0,0,64,46,12,1,80,67,1,4,70,48,0,5,10,9,0,0,8,6,0,0
Erik Gustafsson,D,CGY,2019-20,27,-9,Standard (1-way),1200000,L,2,9,0,0,66,0.08000000000000002,0.010000000000000009,-0.039999999999999994,0.010000000000000009,53,5,-22,-11,-81,6,-23,-5,-1,114,8,80700,67206,694,9896,103,68,0,28,6,4,0,2,86,79,1,5,21,21,0,0,58,54,0,3,5,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,58,54,0,0,23,13,0,6,-10,-8,0,-2
Derick Brassard,F,NYI,2019-20,31,-2,Standard (1-way),1200000,L,3,8,0,0,66,0.03999999999999998,-0.019999999999999962,0.07,-0.040000000000000036,41,7,3,1,-28,-1,2,-1,-1,79,10,54305,46506,163,6413,110,85,1,21,10,7,0,2,115,109,0,5,26,26,0,0,40,35,0,4,6,3,0,1,3,1,0,1,197,179,0,9,161,147,2,0,24,23,0,0,22,13,0,7,-6,-8,0,0
Jujhar Khaira,F,EDM,2019-20,24,-19,Standard (1-way),1200000,L,0,0,0,0,64,-0.08000000000000002,-0.03999999999999998,0.04999999999999999,0.020000000000000018,-122,-21,-14,-10,-64,-18,-11,-8,-4,3,1,47799,40662,5822,374,70,64,5,0,6,6,0,0,136,131,5,0,15,12,3,0,36,33,3,0,8,7,1,0,2,2,0,0,34,32,2,0,32,28,1,1,31,21,0,3,5,4,0,0,-4,-6,0,0
Mark Borowiecki,D,OTT,2019-20,29,1,Standard (1-way),1200000,L,0,0,1,0,53,-0.09999999999999998,-0.03999999999999998,-0.010000000000000009,0.13,-134,-10,15,1,-46,-7,14,1,-5,0,0,56936,48400,7086,102,63,57,3,0,7,5,0,0,199,184,14,0,10,7,3,0,30,27,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,120,83,0,9,10,9,0,0,-18,-12,-2,0
Carter Rowney,F,ANA,2019-20,30,5,Standard (1-way),1133333,R,0,0,2,2,71,-0.15000000000000002,-0.08000000000000002,-0.04000000000000001,-0.25,-226,-17,-14,-9,-113,0,0,-3,-18,-1,0,53961,42952,9541,358,63,50,12,0,8,5,2,0,189,182,4,1,24,18,6,0,24,23,1,0,6,2,2,0,3,0,2,0,47,30,16,1,56,26,0,6,41,32,1,2,10,8,2,0,2,2,0,0
Austin Watson,F,NSH,2019-20,27,-9,Standard (1-way),1100000,R,0,0,0,2,53,-0.16000000000000003,-0.12000000000000005,-0.039999999999999994,-0.87,-112,-17,-22,-5,-61,-11,-12,-1,-7,0,0,37010,32556,3362,204,50,47,3,0,6,6,0,0,131,124,6,0,18,12,5,1,20,19,0,0,6,5,0,0,3,3,0,0,6,6,0,0,6,6,0,0,48,42,0,0,8,4,2,0,-19,-12,-7,0
Chandler Stephenson,F,VGK,2019-20,25,24,Standard (1-way),1050000,L,1,1,2,1,65,-0.010000000000000009,-0.010000000000000009,0.06,-0.010000000000000009,57,20,-5,-3,72,19,-3,-2,-7,23,5,55873,47089,4497,2490,72,61,6,3,11,7,2,1,51,45,3,1,37,30,3,1,22,18,2,1,6,4,1,0,3,1,1,0,234,199,13,15,280,239,16,6,32,25,0,3,15,13,1,1,-6,-6,0,0
Scott Wilson,F,BUF,2019-20,27,1,Standard (1-way),1050000,L,0,0,0,0,6,0.010000000000000009,0.030000000000000027,0,-0.92,-3,1,0,-1,-1,2,1,0,0,0,0,4187,4098,0,9,8,8,0,0,1,1,0,0,3,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-2,-2,0,0
Adam Erne,F,DET,2019-20,24,-24,Standard (1-way),1050000,L,0,0,0,0,56,-0.010000000000000009,-0.02999999999999997,-0.05,-0.1499999999999999,-52,-24,-8,-6,-61,-21,-3,-4,0,10,-1,39670,35994,130,2855,63,58,0,3,2,2,0,0,142,139,0,3,5,5,0,0,27,27,0,0,3,3,0,0,0,0,0,0,20,19,0,0,13,11,0,0,25,25,0,0,3,3,0,0,-8,-6,0,-2
Josh Archibald,F,EDM,2019-20,26,-8,Standard (1-way),1000000,R,0,0,2,1,62,-0.13,-0.04999999999999999,0.010000000000000009,0.17000000000000004,-200,-20,-13,-7,-70,-17,-7,-7,-9,1,0,48922,39240,8085,233,63,53,7,0,12,7,2,0,164,157,7,0,25,15,8,0,10,9,1,0,7,2,1,0,4,0,1,0,0,0,0,0,2,1,0,0,44,32,0,0,9,6,1,0,6,6,0,0
Zach Aston-Reese,F,PIT,2019-20,24,6,Standard (1-way),1000000,L,0,0,1,0,57,-0.040000000000000036,0.010000000000000009,-0.01999999999999999,-0.05999999999999994,-15,-5,7,-1,35,4,6,5,-8,14,0,49238,41652,5044,1700,98,92,4,1,6,4,1,0,137,133,3,1,20,18,2,0,21,21,0,0,15,7,3,3,3,2,0,0,7,6,1,0,16,10,0,2,30,25,0,2,7,7,0,0,-14,-12,0,0
Nick Cousins,F,VGK,2019-20,25,0,Standard (1-way),1000000,L,3,3,0,0,65,0.04999999999999993,0,-0.07,-0.010000000000000009,161,13,24,10,88,1,10,3,0,69,11,52650,46031,8,6025,115,98,0,17,10,7,0,3,90,85,0,5,29,29,0,0,21,19,0,2,14,11,0,3,2,2,0,0,35,30,0,5,38,32,0,0,31,30,0,0,15,13,0,2,8,8,0,2
Nathan Beaulieu,D,WPG,2019-20,26,15,Standard (1-way),1000000,L,0,0,0,0,38,-0.14,-0.03999999999999998,-0.13,-0.09999999999999998,-108,2,-8,-8,-27,12,0,-1,-8,-1,0,38710,32746,4894,162,38,37,1,0,1,1,0,0,62,54,8,0,6,5,1,0,23,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,36,0,1,7,7,0,0,-9,-7,-2,0
Ross Johnston,F,NYI,2019-20,25,1,Standard (1-way),1000000,L,0,0,0,0,32,-0.050000000000000044,-0.06,0,-0.67,-42,1,2,-1,-41,1,2,-1,0,0,0,15304,15270,0,5,16,16,0,0,3,3,0,0,93,93,0,0,2,2,0,0,4,4,0,0,4,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,14,14,0,0,1,1,0,0,-8,-6,0,0
Brett Ritchie,F,BOS,2019-20,26,-3,Standard (1-way),1000000,R,0,1,0,0,27,0.030000000000000027,0.020000000000000018,0,-0.15999999999999992,0,-2,-2,2,-3,-3,-3,0,0,3,2,16746,15821,4,776,34,31,0,1,2,2,0,0,89,88,0,1,3,3,0,0,4,4,0,0,2,2,0,0,1,1,0,0,2,2,0,0,3,3,0,0,3,3,0,0,4,3,0,1,0,0,0,0
Tyler Pitlick,F,PHI,2019-20,27,11,Standard (1-way),1000000,R,0,0,0,0,63,-0.10000000000000003,-0.050000000000000044,-0.09,-0.38,-39,13,-5,6,-3,12,-2,4,-3,1,0,45265,40461,3790,177,77,72,4,1,9,9,0,0,132,125,4,0,28,25,2,0,15,13,2,0,5,4,0,0,0,0,0,0,5,5,0,0,14,12,0,0,42,31,0,2,11,10,0,0,10,8,0,0
Nate Thompson,F,PHI,2019-20,34,-1,Standard (1-way),1000000,L,0,0,0,1,70,-0.15000000000000008,-0.07000000000000006,0,-0.06000000000000005,-135,-18,-19,-12,11,-2,-2,-2,-14,2,0,53737,43500,8985,275,67,60,7,0,4,4,0,0,117,115,2,0,25,16,7,0,33,29,4,0,12,10,2,0,0,0,0,0,433,357,64,3,354,283,4,21,50,38,0,2,10,8,1,0,-18,-18,0,0
Joel Persson,D,EDM,2019-20,25,-1,Standard (1-way),1000000,R,0,0,0,0,13,0,0,-0.08,-0.16999999999999993,-17,-1,0,2,-20,-1,0,2,0,2,0,11913,11572,34,218,17,17,0,0,0,0,0,0,6,6,0,0,2,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,2,2,0,0,-2,-2,0,0
Kevin Labanc,F,S.J,2019-20,23,-33,Standard (1-way),1000000,R,3,6,0,0,70,0.13999999999999996,0.06000000000000005,-0.2,0,196,-15,11,-5,48,-19,4,-4,0,134,11,67546,54937,187,9371,176,129,0,37,14,11,0,3,46,45,0,1,33,31,0,1,33,23,0,7,14,10,0,4,3,1,0,2,2,2,0,0,11,9,1,0,24,21,0,0,19,11,0,3,-4,-2,-2,0
Rocco Grimaldi,F,NSH,2019-20,26,10,Standard (1-way),1000000,R,0,0,0,0,66,0.010000000000000009,0.010000000000000009,0.79,0.030000000000000027,60,13,12,9,51,14,11,9,0,7,0,50045,48561,87,459,122,116,1,2,10,10,0,0,23,23,0,0,27,26,0,0,19,19,0,0,9,9,0,0,3,3,0,0,1,1,0,0,5,5,0,0,14,13,0,0,21,21,0,0,20,20,0,0
