player,position,team,season,cap_hit,age,total_cap,percent_cap_hit,type,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,covid
Gabriel Landeskog,F,COL,2011-12,925000,18,64300000,0.014386,Entry_Level,L,6,6,0,2,20,82,0.08999999999999997,0.06000000000000005,0,-0.010000000000000009,262,23,18,7,154,16,4,2,-14,130,17,91571,72025,6416,10045,270,204,12,39,22,14,0,6,219,201,5,9,58,41,10,4,35,23,1,8,23,8,1,11,8,2,0,6,8,3,4,1,28,18,2,4,58,42,2,7,30,18,2,6,-16,-6,2,-14,pre-covid
Gustav Nyquist,F,DET,2011-12,762500,21,64300000,0.011858,Entry_Level,L,0,0,0,0,3,18,0.04999999999999993,0.029999999999999916,-0.07,0.06000000000000005,39,2,-1,1,36,2,-1,1,0,3,0,11443,11153,4,286,19,18,0,1,1,1,0,0,4,4,0,0,9,9,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,2,0,0,pre-covid
Ian Cole,D,STL,2011-12,875000,22,64300000,0.013608,Entry_Level,L,0,0,0,0,6,26,0,0,-0.039999999999999994,-0.050000000000000044,3,7,3,4,6,5,2,3,0,5,0,24820,23136,682,453,18,14,0,1,1,1,0,0,16,16,0,0,5,5,0,0,8,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0,0,5,5,0,0,-1,-1,0,0,pre-covid
Jack Johnson,D,CBJ,2011-12,4357143,24,64300000,0.067763,Standard (1-way),L,5,12,0,0,-7,81,0.020000000000000018,-0.06000000000000005,0.03,-0.030000000000000027,80,3,22,2,-59,-7,2,-6,-18,193,18,115540,83378,8704,17632,175,106,4,42,12,7,0,0,106,86,4,7,21,15,3,1,44,29,3,10,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,126,99,7,12,26,11,0,7,-10,-8,-2,2,pre-covid
Jaden Schwartz,F,STL,2011-12,830000,19,64300000,0.012908,Entry_Level,L,1,0,0,0,1,7,-0.040000000000000036,-0.10000000000000003,0,-0.029999999999999916,-6,2,3,4,-11,1,2,3,0,6,1,4909,4448,8,348,6,5,0,1,2,1,0,1,1,1,0,0,1,1,0,0,2,2,0,0,3,2,0,1,2,1,0,1,1,1,0,0,1,1,0,0,5,5,0,0,1,1,0,0,2,2,0,0,pre-covid
Jake Gardiner,D,TOR,2011-12,875000,20,64300000,0.013608,Entry_Level,L,1,6,0,0,-2,75,0.010000000000000009,0.010000000000000009,0.04000000000000001,0.050000000000000044,-109,-2,-11,1,-82,2,-14,3,-13,76,9,97131,78131,7661,8579,79,60,3,12,7,5,0,1,52,42,4,2,34,29,2,2,73,65,4,4,3,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,90,71,0,12,23,15,0,4,4,4,0,0,pre-covid
Jakub Voracek,F,PHI,2011-12,2250000,21,64300000,0.034992,Standard (1-way),L,1,14,0,0,11,78,0.12,0.020000000000000018,-0.010000000000000009,0.050000000000000044,294,34,44,19,72,14,-2,4,-6,208,26,76243,55566,2518,15188,190,128,4,45,18,17,0,0,44,42,1,0,35,25,5,2,38,26,3,7,16,9,0,6,4,3,0,0,7,1,1,3,16,8,0,4,18,13,1,3,31,17,0,10,6,10,2,-8,pre-covid
James Neal,F,PIT,2011-12,2875000,23,64300000,0.044712,Standard (1-way),L,19,15,0,0,3,80,0.15000000000000002,0.039999999999999925,0.65,0.010000000000000009,545,52,61,23,202,18,9,0,0,257,30,91691,69951,94,17271,329,208,3,78,40,22,0,14,108,103,0,3,30,20,0,5,26,18,0,7,39,17,1,12,14,4,0,8,4,2,0,0,11,9,0,0,15,14,0,0,41,26,0,9,-12,-12,0,-15,pre-covid
Jamie Benn,F,DAL,2011-12,630000,21,64300000,0.009798,Entry_Level,L,2,8,1,0,15,71,0.10000000000000003,0.050000000000000044,0.1,0.010000000000000009,141,21,9,11,56,13,-5,4,-4,94,11,76999,60741,2822,9407,203,158,6,24,26,21,1,2,136,124,2,4,56,46,5,2,51,42,1,5,19,10,0,4,10,6,0,2,347,261,15,41,404,313,42,13,52,46,0,3,37,25,0,8,-4,4,-2,-2,pre-covid
Jared Spurgeon,D,MIN,2011-12,526667,21,64300000,0.008191,Entry_Level,R,2,10,0,0,-4,70,0.04999999999999999,0.010000000000000009,-0.020000000000000004,0.040000000000000036,-61,4,22,4,-110,-3,-2,-3,-7,132,13,90717,68912,6866,10826,92,60,2,21,3,1,0,2,36,31,3,1,18,14,2,1,22,20,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,95,66,3,14,20,9,0,7,28,12,0,14,pre-covid
Jason Spezza,F,OTT,2011-12,7000000,28,64300000,0.108865,Standard (1-way),R,10,14,0,0,13,80,0.10999999999999999,0.010000000000000009,-0.06,0,199,46,41,26,5,10,-5,-2,-4,171,27,95623,74444,1800,14845,232,159,2,47,34,19,0,9,28,25,0,1,64,51,3,1,84,66,0,15,31,15,0,8,14,4,0,5,909,665,39,136,791,565,71,34,23,22,0,0,50,32,0,12,-10,-8,0,-2,pre-covid
Jason Zucker,F,MIN,2011-12,771667,19,64300000,0.012001,Entry_Level,L,0,0,0,0,-2,6,-0.06,-0.10000000000000003,0,0.14,-11,-2,1,0,-13,-2,1,0,0,3,0,3969,3862,0,107,10,8,0,2,0,0,0,0,5,5,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,0,0,0,pre-covid
Jay Beagle,F,WSH,2011-12,512500,25,64300000,0.00797,Standard (1-way),R,0,0,0,0,-1,41,-0.04999999999999999,0,-0.04000000000000001,-0.09999999999999998,-33,-3,-3,1,4,-2,1,1,-1,1,0,29165,25791,2484,131,49,45,1,1,4,4,0,0,66,62,3,0,10,10,0,0,6,5,1,0,4,4,0,0,0,0,0,0,124,105,11,1,91,65,0,8,23,15,0,0,1,1,0,0,-10,-12,0,2,pre-covid
