player,team,position,season,games_played,cap_hit,projected_cap_hit,projected_percent_cap_hit
Blake Wheeler,WPG,F,2021-22,65,8250000,6698908.8,0.08219520002603531
Brayden Point,TBL,F,2021-22,66,6750000,6696811.46,0.08216946572065353
David Perron,STL,F,2020-21,56,4000000,6693027.25,0.0821230337023735
Joe Thornton,S.J,F,2013-14,82,7000000,6686563.93,0.1039901077747345
Brady Tkachuk,OTT,F,2021-22,79,8330674,6679551.16,0.08195768296718597
Alex Pietrangelo,VGK,D,2021-22,80,8800000,6676229.66,0.0819169282913208
Andrei Svechnikov,CAR,F,2021-22,78,7750000,6670147.72,0.08184230327606201
Henrik Zetterberg,DET,F,2016-17,82,6083333,6667500.59,0.09133562445640564
Oliver Ekman-Larsson,ARI,D,2019-20,66,8250000,6666807.39,0.08180131763219833
Shea Weber,NSH,D,2013-14,79,7857143,6665117.78,0.1036565750837326
Max Pacioretty,VGK,F,2020-21,48,7000000,6664295.31,0.08177049458026886
Mika Zibanejad,NYR,F,2021-22,81,5350000,6662443.28,0.08174777030944824
Eric Staal,MIN,F,2019-20,66,3250000,6649396.5,0.08158768713474274
Evander Kane,S.J,F,2020-21,56,7000000,6642528.82,0.08150342106819153
Joe Pavelski,S.J,F,2018-19,75,6000000,6639724.12,0.08351854234933853
Mark Stone,VGK,F,2019-20,65,9500000,6639567.39,0.08146708458662033
Shea Weber,MTL,D,2016-17,78,7857143,6636040.22,0.09090466052293777
Phil Kessel,TOR,F,2014-15,82,8000000,6627997.11,0.09605792909860611
Jeff Petry,MTL,D,2019-20,71,5500000,6625859.35,0.08129888772964478
P.K. Subban,NSH,D,2018-19,63,9000000,6618982.21,0.08325763791799545
David Krejci,BOS,F,2018-19,81,7250000,6609750.89,0.0831415206193924
Joe Pavelski,S.J,F,2015-16,82,6000000,6609469.76,0.09256960451602936
Max Pacioretty,VGK,F,2021-22,39,7000000,6604888.32,0.08104157447814941
Logan Couture,S.J,F,2020-21,53,8000000,6601804.85,0.08100374042987823
Dustin Brown,L.A,F,2018-19,72,5875000,6596107.36,0.08296990394592285
Brad Marchand,BOS,F,2018-19,79,6125000,6588664.26,0.0828762799501419
Drew Doughty,L.A,D,2016-17,82,7000000,6587718.64,0.09024272114038467
Phil Kessel,ARI,F,2019-20,70,8000000,6585731.06,0.08080651611089706
Max Pacioretty,VGK,F,2019-20,71,7000000,6581794.44,0.08075821399688721
Joe Thornton,S.J,F,2014-15,78,6750000,6580573.84,0.09537063539028168
David Pastrnak,BOS,F,2018-19,66,6666667,6579739.16,0.08276401460170746
Keith Yandle,FLA,D,2017-18,81,6350000,6579251.4,0.08772335201501846
Jason Spezza,DAL,F,2016-17,68,7500000,6575496.84,0.0900752991437912
Jakub Voracek,PHI,F,2020-21,53,8250000,6572690.96,0.080646514892578125
Vincent Trocheck,FLA,F,2017-18,81,4750000,6571898.8,0.08762531727552414
Corey Perry,ANA,F,2013-14,81,8625000,6571805.03,0.10220536589622498
Vladimir Tarasenko,STL,F,2021-22,75,7500000,6569561.95,0.08060812205076218
Alexander Radulov,DAL,F,2017-18,81,6250000,6568861.75,0.08758482336997986
Sean Couturier,PHI,F,2021-22,29,4333333,6562139.26,0.08051704615354538
Blake Wheeler,WPG,F,2018-19,82,5600000,6555440.37,0.08245836943387985
Zach Parise,MIN,F,2019-20,69,7538462,6550587.46,0.0803753063082695
Torey Krug,BOS,D,2019-20,61,5250000,6547879.25,0.08034207671880722
Henrik Zetterberg,DET,F,2017-18,81,6083333,6543944.59,0.08725259453058243
Jeff Petry,MTL,D,2020-21,55,5500000,6537668.2,0.08021678775548935
Brayden Schenn,STL,F,2020-21,56,6500000,6537135.06,0.08021024614572525
Phil Kessel,ARI,F,2021-22,82,8000000,6532474.63,0.08015306293964386
Matt Duchene,CBJ,F,2018-19,73,6000000,6521400.86,0.08203019946813583
Henrik Sedin,VAN,F,2016-17,82,7000000,6520098.68,0.08931642025709152
Vladimir Tarasenko,STL,F,2017-18,80,7500000,6517487.39,0.08689983189105988
Zdeno Chara,BOS,D,2011-12,79,6916667,6516994.36,0.10135294497013092
Tyler Seguin,DAL,F,2018-19,82,5750000,6516511.84,0.08196870237588882
Ryan Getzlaf,ANA,F,2013-14,77,8250000,6514681.88,0.10131698101758957
Joe Pavelski,S.J,F,2016-17,80,6000000,6513133.05,0.08922100067138672
Steven Stamkos,T.B,F,2014-15,82,7500000,6509827.85,0.0943453311920166
Mark Giordano,CGY,D,2020-21,56,6750000,6507783.15,0.07985009998083115
Dylan Larkin,DET,F,2018-19,76,6100000,6501674.19,0.08178206533193588
Zach Parise,MIN,F,2015-16,70,7538462,6497529.67,0.09100181609392166
Dougie Hamilton,CAR,D,2019-20,47,5750000,6479918.93,0.0795082077383995
Gabriel Landeskog,COL,F,2018-19,73,5571429,6479645.77,0.08150497823953629
Jakub Voracek,PHI,F,2019-20,69,8250000,6478578.18,0.0794917568564415
J.T. Miller,VAN,F,2021-22,80,5250000,6474189.18,0.07943790405988693
Kirill Kaprizov,MIN,F,2021-22,81,9000000,6466507.21,0.07934364676475525
Jake Guentzel,PIT,F,2021-22,76,6000000,6464436.58,0.07931824028491974
Ryan Johansen,NSH,F,2021-22,79,8000000,6462514.12,0.07929465174674988
Jonathan Huberdeau,FLA,F,2021-22,80,5900000,6456118.24,0.07921617478132248
Dustin Brown,L.A,F,2019-20,66,5875000,6454044.58,0.07919073104858398
David Krejci,BOS,F,2016-17,82,7250000,6439708.67,0.0882151871919632
Evander Kane,S.J,F,2019-20,64,7000000,6437256.71,0.07898474484682083
Jeff Skinner,BUF,F,2019-20,59,9000000,6436421.17,0.07897449284791946
Zach Parise,MIN,F,2014-15,74,7538462,6436151.55,0.09327755868434906
Steven Stamkos,T.B,F,2013-14,37,7500000,6428879.07,0.09998256713151932
Gabriel Landeskog,COL,F,2019-20,54,5571429,6427533.86,0.07886544615030289
Matthew Tkachuk,CGY,F,2020-21,56,7000000,6419605.97,0.07876817137002945
Ryan Getzlaf,ANA,F,2021-22,56,3000000,6401893.9,0.07855084538459778
Steven Stamkos,T.B,F,2012-13,48,7500000,6397337.17,0.10662228614091873
Patrick Kane,CHI,F,2014-15,61,6300000,6395496.79,0.09268835932016373
Dylan Larkin,DET,F,2019-20,71,6100000,6393670.29,0.07844994217157364
Phil Kessel,PIT,F,2015-16,82,8000000,6391918.44,0.08952266722917557
David Perron,STL,F,2019-20,71,4000000,6390146.58,0.07840670645236969
Matthew Tkachuk,CGY,F,2021-22,82,7000000,6382894.52,0.07831772416830063
Jason Spezza,OTT,F,2013-14,75,7000000,6381318.2,0.09924289584159851
Aleksander Barkov,FLA,F,2017-18,78,5900000,6378177.93,0.08504237234592438
William Nylander,TOR,F,2021-22,81,6962366,6376563.62,0.0782400444149971
Kris Letang,PIT,D,2014-15,69,7250000,6375462.19,0.09239800274372101
Logan Couture,S.J,F,2019-20,52,8000000,6375173.69,0.07822299003601074
Blake Wheeler,WPG,F,2019-20,71,8250000,6362278.11,0.07806476205587387
Jonathan Huberdeau,FLA,F,2020-21,55,5900000,6359729.6,0.07803349196910858
Aleksander Barkov,FLA,F,2019-20,65,5900000,6355773.54,0.07798495143651962
Jonathan Toews,CHI,F,2014-15,81,6300000,6350438.86,0.09203534573316574
